epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,8.91082,1.32769,0.61429,1,0.94931,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244,0.00984733,0.00328244
2,14.1578,0.94939,0.69286,1,0.93996,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477,0.0199043,0.00663477
3,18.7853,0.8019,0.66429,1,0.8754,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057,0.0299417,0.00998057
4,23.0748,0.77936,0.75714,1,0.7488,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086,0.0299126,0.00997086
5,27.371,0.71259,0.7,1,0.7808,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114,0.0298834,0.00996114
6,31.7829,0.78122,0.73571,1,0.78534,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143,0.0298543,0.00995143
7,36.0651,0.70248,0.75714,1,0.8188,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171,0.0298251,0.00994171
8,40.3822,0.6299,0.67143,1,0.84379,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932,0.029796,0.009932
9,44.8358,0.6497,0.81429,1,0.9151,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228,0.0297668,0.00992228
10,49.1739,0.64335,0.64286,1,0.97761,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257,0.0297377,0.00991257
11,53.5935,0.65838,0.77143,1,0.78269,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285,0.0297086,0.00990285
12,57.9384,0.5674,0.7,1,0.82569,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314,0.0296794,0.00989314
13,62.6463,0.6329,0.7,1,0.8739,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342,0.0296503,0.00988342
14,66.9215,0.59656,0.75714,1,1.01303,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371,0.0296211,0.00987371
15,71.3246,0.53813,0.70714,1,0.87394,0.029592,0.00986399,0.029592,0.00986399,0.029592,0.00986399,0.029592,0.00986399
16,75.748,0.55002,0.72857,1,0.88133,0.0295628,0.00985428,0.0295628,0.00985428,0.0295628,0.00985428,0.0295628,0.00985428
17,79.9613,0.53726,0.74286,1,1.21228,0.0295337,0.00984456,0.0295337,0.00984456,0.0295337,0.00984456,0.0295337,0.00984456
18,84.2477,0.5715,0.73571,1,0.84657,0.0295045,0.00983485,0.0295045,0.00983485,0.0295045,0.00983485,0.0295045,0.00983485
19,88.652,0.52332,0.74286,1,0.93879,0.0294754,0.00982513,0.0294754,0.00982513,0.0294754,0.00982513,0.0294754,0.00982513
20,92.985,0.46621,0.74286,1,1.0397,0.0294463,0.00981542,0.0294463,0.00981542,0.0294463,0.00981542,0.0294463,0.00981542
21,98.9777,0.50989,0.69286,1,0.94493,0.0294171,0.0098057,0.0294171,0.0098057,0.0294171,0.0098057,0.0294171,0.0098057
22,104.996,0.51724,0.73571,1,0.97852,0.029388,0.00979599,0.029388,0.00979599,0.029388,0.00979599,0.029388,0.00979599
23,109.414,0.46068,0.77857,1,0.87762,0.0293588,0.00978627,0.0293588,0.00978627,0.0293588,0.00978627,0.0293588,0.00978627
24,113.753,0.42824,0.8,1,0.58864,0.0293297,0.00977656,0.0293297,0.00977656,0.0293297,0.00977656,0.0293297,0.00977656
25,117.986,0.44006,0.69286,1,1.21941,0.0293005,0.00976684,0.0293005,0.00976684,0.0293005,0.00976684,0.0293005,0.00976684
26,122.396,0.44596,0.71429,1,0.92317,0.0292714,0.00975713,0.0292714,0.00975713,0.0292714,0.00975713,0.0292714,0.00975713
27,126.896,0.38416,0.70714,1,0.67321,0.0292422,0.00974741,0.0292422,0.00974741,0.0292422,0.00974741,0.0292422,0.00974741
28,131.367,0.42206,0.72143,1,0.86627,0.0292131,0.0097377,0.0292131,0.0097377,0.0292131,0.0097377,0.0292131,0.0097377
29,135.896,0.46504,0.64286,1,0.98542,0.0291839,0.00972798,0.0291839,0.00972798,0.0291839,0.00972798,0.0291839,0.00972798
30,140.403,0.45674,0.71429,1,0.83901,0.0291548,0.00971827,0.0291548,0.00971827,0.0291548,0.00971827,0.0291548,0.00971827
31,144.846,0.40076,0.74286,1,1.03665,0.0291257,0.00970855,0.0291257,0.00970855,0.0291257,0.00970855,0.0291257,0.00970855
32,149.3,0.35628,0.75,1,1.21052,0.0290965,0.00969884,0.0290965,0.00969884,0.0290965,0.00969884,0.0290965,0.00969884
33,153.727,0.37606,0.75,1,0.87641,0.0290674,0.00968912,0.0290674,0.00968912,0.0290674,0.00968912,0.0290674,0.00968912
